"",validDate,stoxxId,freeFloat
17990,20240923,CN877L,0.4598
20329,20240923,CN8G9W,0.3914
28404,20240923,SE15EQ,0.7597
28820,20240923,GB1EW2,0.6802
12032,20240624,CN64R0,0.6407
13366,20240923,KR91F0,0.8884
16053,20240624,GB1F3A,0.9443
17961,20240923,JP10Y7,0.7013
10322,20240624,CN2C4H,0.6279
24752,20240923,JP3E8X,0.5901
14876,20240624,IN02JQ,0.25
11805,20240923,SE70ER,0.8037
3394,20240923,TR106R,0.5066
11981,20240923,US9HEQ,1.0
21825,20240923,CA80B5,0.5604
24179,20240923,CNE56O,0.169
18352,20240923,US05MD,0.8808
9448,20240624,US0VK1,1.0
12745,20240923,CN838I,0.5627
20782,20240923,CA13C2,0.8866
26397,20240923,JP1ZDL,0.6158
28628,20240923,HK30KO,0.2894
29499,20240923,CA40WM,0.6278
11951,20240624,CN1PE3,0.5384
24714,20240923,BR168H,0.1099
20226,20240624,FI0030,0.3991
28522,20240923,US92A7,1.0
15722,20240624,KR81VF,0.7127
30530,20240923,US42NF,0.9347
6269,20240923,US9CX4,0.9326
6394,20240923,CN15PU,0.7045
22052,20240923,CN37KT,0.5178
7163,20240923,CN0AOX,0.4596
2772,20240624,662954,0.9165
6397,20240624,CN20XY,0.2871
11608,20240923,CN8QSP,0.485
33596,20240923,CNEC4T,0.6246
14975,20240624,CN7DP8,0.4719
7817,20240923,588171,0.6077
11307,20240923,CN0CEP,0.5228
7624,20240923,URI,1.0
17290,20240624,CN6ZHL,0.3454
12041,20240923,643312,0.9464
2547,20240624,KR10Q2,0.7177
33656,20240923,NFLX,1.0
4849,20240624,AU02MS,1.0
10363,20240624,BR11EI,1.0
2327,20240624,JP303E,0.6121
7032,20240923,CN51V0,0.4971
19653,20240624,CNF0N1,0.7346
6421,20240624,CN0G8N,0.6723
2923,20240624,SI501G,0.3744
2443,20240624,JP60HV,0.6976
5125,20240624,UR006,0.226
939,20240923,HK20GJ,0.6924
8960,20240923,HOC,0.8704
31510,20240923,US3LT3,0.8249
20423,20240624,CA00N9,0.9268
34244,20240923,US9342,1.0
16477,20240923,TW7051,1.0
5059,20240624,635785,1.0
11829,20240624,US9EX6,1.0
16299,20240624,CN4D5L,0.2026
5434,20240624,B0Z5YZ,0.785
23498,20240923,CN38Q0,0.5116
11546,20240624,SA279K,0.6636
11391,20240923,US06A2,1.0
19517,20240624,CN1M7T,0.549
10890,20240923,CN54W4,0.5713
15209,20240624,CN7B9Q,0.4665
10881,20240923,B04PZ7,0.649
20189,20240624,PH301A,0.6697
19987,20240624,CN8GRE,0.2174
33147,20240923,CNF81N,0.277
11425,20240624,CN7LVM,0.6795
18476,20240624,JP420E,0.7443
4952,20240923,AIZ,1.0
33306,20240923,CN8M92,0.5721
3295,20240624,KR40BQ,0.3667
17807,20240923,KR07UC,0.633
3370,20240624,B09CBL,1.0
11970,20240923,CN57LW,0.2404
16381,20240923,US13I8,0.7894
18664,20240624,CNE6J2,0.4141
13643,20240624,CN1ES6,0.4396
4678,20240923,PH045F,0.5606
4334,20240624,UC036,0.1576
18267,20240624,IL405C,0.9472
2377,20240923,CN0W83,0.4299
8068,20240923,SE10JQ,0.7827
4831,20240923,262611,1.0
1891,20240624,KR13XC,0.7304
14617,20240923,MY00CW,0.3695
17947,20240923,US8262,1.0
2639,20240923,IN11X4,0.567
34046,20240923,FR355J,0.428
20492,20240624,JP466O,0.6394
2114,20240624,TW002R,0.8743
462,20240624,ROST,1.0
44,20240923,URBN,0.6675
1568,20240624,TW04D6,0.876
11775,20240923,JP70CR,0.6417
23321,20240923,CN377G,0.775
12883,20240923,KR815P,0.6449
1274,20240923,CN0J7P,0.372
16909,20240923,CN1EKY,0.4851
12305,20240624,IN09LZ,0.25
9473,20240624,US3PQ4,0.796
5442,20240624,JP13T5,1.0
12368,20240624,TR005P,0.5082
17365,20240624,CNEMON,0.7582
1145,20240923,220576,1.0
6161,20240923,611796,0.8991
626,20240624,HIG,1.0
932,20240624,US11NB,0.8546
288,20240923,KR20V8,0.49
15473,20240923,TH00R1,0.3
27208,20240923,CNECYN,0.4007
10409,20240923,CN40OR,0.4268
2873,20240624,CN0XA6,0.7926
9159,20240624,DE31D8,0.6961
3571,20240624,628791,0.4429
10246,20240624,614742,0.4906
33110,20240923,JP45M3,0.6525
1890,20240624,CN0UWP,0.6568
13008,20240923,279311,1.0
20306,20240923,SA24EM,0.933
20110,20240624,CNF52L,0.4453
27642,20240923,CN8ZMS,0.673
10915,20240624,CN8M2V,0.602
31449,20240923,NG404B,0.0769
2501,20240624,PH014,0.3315
9131,20240624,JP1KYR,0.8167
20020,20240923,CN1TPI,0.4312
20385,20240923,CN8UDE,0.3068
16547,20240923,US07UN,0.3618
4886,20240624,CASY,1.0
5017,20240923,INTU,1.0
10177,20240923,CN57S3,1.0
22071,20240923,CN8WDG,0.571
29267,20240923,FR31T3,0.0966
8766,20240624,466514,0.845
24247,20240923,PK807O,0.5735
8802,20240624,CN1IUC,0.7147
11548,20240923,CN1ZZY,0.4978
11600,20240624,CN2HP7,0.4813
5644,20240923,ZA217J,0.6403
26441,20240923,CN7GVH,0.4012
29017,20240923,CNF80M,0.3083
2892,20240923,MY00G0,0.4592
19822,20240624,KR07UC,0.633
27992,20240923,HK417D,0.2245
13881,20240923,US9L4K,1.0
13571,20240624,CN554D,0.5396
22681,20240923,US61RK,1.0
157,20240923,CN16DJ,0.6789
33321,20240923,CNECPE,0.5467
5107,20240624,KR62L4,1.0
281,20240923,CA209X,1.0
14533,20240923,CN8RWU,0.5095
6248,20240624,US073W,0.9301
5818,20240624,CN2CLY,0.2215
24808,20240923,MA3054,0.6938
5138,20240624,PL401F,0.6699
8662,20240923,US97SU,0.9477
13980,20240923,CN1ZYX,0.7458
19468,20240624,CNF1M1,0.5055
31589,20240923,CN2VVR,0.5785
5270,20240923,CN1DZC,0.6545
25827,20240923,CN95JW,0.5376
1387,20240624,KR12V9,0.2865
9511,20240624,CN0S1S,0.4564
3073,20240624,CDE,1.0
31351,20240923,CN2RPH,0.4963
1948,20240624,CN01VV,0.3752
28351,20240923,CN898O,0.4897
1973,20240624,IT401G,0.559
19480,20240624,CN8G0N,0.8137
16084,20240923,CN57DO,0.6609
12014,20240624,CN2MTG,0.6526
19082,20240624,US043T,0.932
9392,20240624,CN20FG,0.5805
161,20240624,CN09QY,0.3127
13411,20240923,IL60AJ,0.3259
1091,20240624,SG503G,0.4641
3214,20240923,IN03JR,0.4137
20995,20240923,IT802L,0.4069
8340,20240624,US11PD,1.0
15349,20240624,CN7ZCH,0.4055
