Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;KR00JU;KR7000810002;6155250;000810.KS;Samsung Fire & Marine Insuranc;KR;Emerging;STANDARD
6/18/2012;BR03X2;BRLRENACNOR1;B0CGYD6;LREN3.SA;LOJAS RENNER;BR;Emerging;STANDARD
6/18/2012;TW0751;TW0004938006;B4PLX17;4938.TW;Pegatron;TW;Emerging;STANDARD
6/18/2012;CN0PAY;CNE100000569;B19H8Y8;2777.HK;R&F Properties;CN;Emerging;STANDARD
6/18/2012;RU00G1;US6698881090;B0DK750;NVTKq.L;NovaTek OAO;RU;Emerging;STANDARD
6/18/2012;EV005;RU000A0JPKH7;B58HDC0;HYDR.MM;RUSHYDRO;RU;Emerging;STANDARD
6/18/2012;BR028C;BRBRMLACNOR9;B1RYG58;BRML3.SA;BR Malls Partic;BR;Emerging;STANDARD
6/18/2012;EW052;PLENEA000013;B3F97B2;ENAE.WA;ENEA;PL;Emerging;STANDARD
6/18/2012;BR026A;BRBRAPACNPR2;B01SCS4;BRAP4.SA;Bradespar;BR;Emerging;STANDARD
6/18/2012;601564;CNE1000001V4;6015644;0347.HK;ANGANG STEEL 'H';CN;Emerging;STANDARD
6/18/2012;MY00H1;MYL6742OO000;B01GQS6;YTLP.KL;YTL Power International Bhd;MY;Emerging;STANDARD
6/18/2012;IN00SX;INE917I01010;B2QKXW0;BAJA.NS;Bajaj Auto Ltd;IN;Emerging;STANDARD
6/18/2012;KR00GR;KR7000270009;6490928;000270.KS;Kia Motors Corp;KR;Emerging;STANDARD
6/18/2012;608169;HK0392044647;6081690;0392.HK;Beijing Enterprises Holdings L;CN;Emerging;STANDARD
6/18/2012;HK0102;KYG216771363;B0BM5T8;3311.HK;CHINA STE.CON.INTL.HDG.;CN;Emerging;STANDARD
6/18/2012;PH04AK;PHY6028G1361;6514442;MBT.PS;Metropolitan Bank & Trust;PH;Emerging;STANDARD
6/18/2012;KR043I;KR7016360000;6408448;016360.KS;Samsung Sec;KR;Emerging;STANDARD
6/18/2012;CN8CCV;KYG2816P1072;B29MXW3;;DONGYUE GROUP;CN;Emerging;STANDARD
6/18/2012;MX00AT;MXP370641013;2822398;GFINBURO.MX;Grupo Financiero Inbursa SA;MX;Emerging;STANDARD
6/18/2012;TW00K9;TW0002303005;6916628;2303.TW;United Microelectronics Corp;TW;Emerging;STANDARD
6/18/2012;BR04U0;BRSBSPACNOR5;B1YCHL8;SBSP3.SA;CIA DE SANEAMENTO BASICO SP;BR;Emerging;STANDARD
6/18/2012;KR055L;KR7035250000;6683449;035250.KS;Kangwon Land;KR;Emerging;STANDARD
6/18/2012;HK11JM;HK0000077468;B63DLB5;3360.HK;FAR EAST HORIZON;CN;Emerging;STANDARD
6/18/2012;ZA20X8;ZAE000026639;6079123;BAWJ.J;BARLOWORLD;ZA;Emerging;STANDARD
6/18/2012;CN00BA;CNE1000002M1;B1DYPZ5;3968.HK;China Merchants Bank Co Ltd;CN;Emerging;STANDARD
6/18/2012;ZA008H;ZAE000066304;6606996;FSRJ.J;FirstRand Ltd;ZA;Emerging;STANDARD
6/18/2012;642539;CNE1000001T8;6425395;2600.HK;ALUMINUM CORP OF CHINA H;CN;Emerging;STANDARD
6/18/2012;PH04GQ;PHY411571011;6455819;ICT.PS;ICTSI;PH;Emerging;STANDARD
6/18/2012;TW08QN;TW0009933002;6239187;9933.TW;CTCI Corp;TW;Emerging;STANDARD
6/18/2012;ZA003C;ZAE000109815;B030GJ7;SBKJ.J;Standard Bank Group Ltd/South;ZA;Emerging;STANDARD
6/18/2012;KR06O5;KR7090430000;B15SK50;090430.KS;Amorepacific;KR;Emerging;STANDARD
6/18/2012;ZA001A;ZAE000042164;6563206;MTNJ.J;MTN Group Ltd;ZA;Emerging;STANDARD
6/18/2012;TW206X;TW0005880009;B73XCZ3;5880.TW;TAIWAN COOP.FINL.HLDG.;TW;Emerging;STANDARD
6/18/2012;ZA00BK;ZAE000085346;B1G4262;KIOJ.J;Kumba Iron Ore Ltd;ZA;Emerging;STANDARD
6/18/2012;BR10RU;BRELETACNPB7;2308445;ELET6.SA;ELETROBRAS - PREF;BR;Emerging;STANDARD
6/18/2012;EV058;RU000A0JPVJ0;B5B27G4;MRKH.MM;HOLDING MRSK;RU;Emerging;STANDARD
6/18/2012;KR03R5;KR7011200003;6405869;011200.KS;Hyundaimercmar;KR;Emerging;STANDARD
6/18/2012;KR00BM;KR7032830002;B12C0T9;032830.KS;Samsung Life Insurance Co Ltd;KR;Emerging;STANDARD
6/18/2012;690580;CNE1000004K1;6905808;0168.HK;TSINGTAO BREWERY H;CN;Emerging;STANDARD
6/18/2012;TW018Y;TW0001314003;6206084;1314.TW;China Petrochem;TW;Emerging;STANDARD
6/18/2012;TW07HD;TW0005522007;6203687;5522.TW;Farglory;TW;Emerging;STANDARD
6/18/2012;ZA218K;ZAE000127148;6515058;LBHJ.J;LIBERTY HOLDINGS;ZA;Emerging;STANDARD
6/18/2012;ZA20MX;ZAE000057428;6728726;RLOJ.J;REUNERT;ZA;Emerging;STANDARD
6/18/2012;BR05LS;BRUSIMACNPA6;2386009;USIM5.SA;USIMINAS - PREF;BR;Emerging;STANDARD
6/18/2012;KR04R6;KR7028670008;B24FX49;028670.KS;STX Pan Oc;KR;Emerging;STANDARD
6/18/2012;BR0114;US05967A1079;B4Q2DV9;BSBR.N;BANCO SANTANDER BRASIL SA;BR;Emerging;STANDARD
6/18/2012;MX00I1;MXP606941179;2491914;KIMBERA.MX;KIMBERLY-CLARK DE MEXICO 'A';MX;Emerging;STANDARD
6/18/2012;B01B1L;KYG210961051;B01B1L9;2319.HK;China Mengniu Dairy Co. Ltd.;CN;Emerging;STANDARD
6/18/2012;KR053J;KR7034730002;B39Z8L3;034730.KS;SK c&c;KR;Emerging;STANDARD
6/18/2012;MY21OB;MYL1082OO006;6436450;HLCB.KL;HONG LEONG FINL.GP.;MY;Emerging;STANDARD
6/18/2012;BR03TY;BRLIGTACNOR2;B0W1X34;LIGT3.SA;LIGHT;BR;Emerging;STANDARD
6/18/2012;TW023U;TW0002006004;6907310;2006.TW;Tung Ho Steel;TW;Emerging;STANDARD
6/18/2012;BR027B;BRBRKMACNPA4;B0774N4;BRKM5.SA;Braskem;BR;Emerging;STANDARD
6/18/2012;MY00EY;MYL4065OO008;6681669;PEPT.KL;PPB Group Bhd;MY;Emerging;STANDARD
6/18/2012;619215;HK0688002218;6192150;0688.HK;China Overseas Land & Investme;CN;Emerging;STANDARD
6/18/2012;TW01ZP;TW0001802007;6870865;1802.TW;Twn Glass Ind;TW;Emerging;STANDARD
6/18/2012;449148;TRAKCHOL91Q8;B03MVJ8;KCHOL.IS;KOC HLDG;TR;Emerging;STANDARD
6/18/2012;KR002D;KR7005930003;6771720;005930.KS;Samsung Electronics Co Ltd;KR;Emerging;STANDARD
6/18/2012;IN04QZ;INE102D01028;B1BDGY0;GOCP.NS;Godrej Cp;IN;Emerging;STANDARD
6/18/2012;PH04HR;PHY003341054;6147105;AGI.PS;Alliance Global Group Inc;PH;Emerging;STANDARD
6/18/2012;TW0885;TW0008046004;B118753;8046.TW;Nan Ya PCB;TW;Emerging;STANDARD
6/18/2012;IN008D;INE257A01026;B6SNRV2;BHEL.NS;Bharat Heavy Electricals Ltd;IN;Emerging;STANDARD
6/18/2012;TW03WO;TW0002451002;6350497;2451.TW;Transcend Info;TW;Emerging;STANDARD
6/18/2012;CN0OK7;CNE1000004Y2;B04KP88;0763.HK;ZTE Corp;CN;Emerging;STANDARD
6/18/2012;CL00A7;CLP321331116;2069355;BCI.SN;Banco de Credito e Inversiones;CL;Emerging;STANDARD
6/18/2012;TW00WL;TW0001102002;6056331;1102.TW;ACement;TW;Emerging;STANDARD
6/18/2012;BR01WZ;BRAMILACNOR0;B28T2K6;AMIL3.SA;Amil Par;BR;Emerging;STANDARD
6/18/2012;PH04BL;PHY0967S1694;6074968;BPI.PS;Bank of the Philippine Islands;PH;Emerging;STANDARD
6/18/2012;EV023;RU0009029540;4767981;SBER.MM;SBERBANK;RU;Emerging;STANDARD
6/18/2012;TW00G5;TW0002353000;6005850;2353.TW;Acer Inc;TW;Emerging;STANDARD
6/18/2012;TW00J8;TW0002891009;6527666;2891.TW;Chinatrust Financial Holding C;TW;Emerging;STANDARD
6/18/2012;TW04TM;TW0002618006;6186023;2618.TW;EVA Airways;TW;Emerging;STANDARD
6/18/2012;B0B8Z1;CNE1000002J7;B0B8Z18;1919.HK;CHINA COSCO HOLDINGS H;CN;Emerging;STANDARD
6/18/2012;TW02MD;TW0002301009;6519481;2301.TW;Liteon Tech;TW;Emerging;STANDARD
6/18/2012;IN03EM;INE016A01026;6297356;DABU.NS;Dabur India;IN;Emerging;STANDARD
6/18/2012;EG003X;EGS74081C018;B1VZ1Q3;ORTE.CA;Orascom Telecom Holding SAE;EG;Emerging;STANDARD
6/18/2012;TW05JD;TW0002903002;6331373;2903.TW;Far East Dept;TW;Emerging;STANDARD
6/18/2012;BR00UW;BRPDGRACNOR8;B1N9YL9;PDGR3.SA;PDG Realty SA Empreendimentos;BR;Emerging;STANDARD
6/18/2012;RU00O9;US55953Q2021;B2QKYZ0;MGNTq.L;Magnit OJSC;RU;Emerging;STANDARD
6/18/2012;CN0OTG;CNE100000296;6536651;1211.HK;BYD;CN;Emerging;STANDARD
6/18/2012;ZA20Y9;ZAE000148466;6349688;TFGJ.J;THE FOSCHINI GROUP;ZA;Emerging;STANDARD
6/18/2012;608071;CNE1000002Z3;6080716;0991.HK;DGI.PWG.'H';CN;Emerging;STANDARD
6/18/2012;ET001;TRETHAL00019;B1WTMP0;HALKB.IS;TURK.  HALK BANKASI;TR;Emerging;STANDARD
6/18/2012;CL00GD;CLP249051044;2196189;CCU.SN;Cia Cervecerias Unidas SA;CL;Emerging;STANDARD
6/18/2012;EV052;RU000A0JPNN9;B59RSV3;FEES.MM;FGC UES;RU;Emerging;STANDARD
6/18/2012;TW040T;TW0002474004;6186669;2474.TW;Catcher Tech;TW;Emerging;STANDARD
6/18/2012;TW00RG;TW0002105004;6190228;2105.TW;Cheng Shin Rubber Industry Co;TW;Emerging;STANDARD
6/18/2012;ID00HC;ID1000094006;6565127;PTBA.JK;Tambang Batubara Bukit Asam Tb;ID;Emerging;STANDARD
6/18/2012;KR05Q6;KR7051900009;6344456;051900.KS;LG H&H;KR;Emerging;STANDARD
6/18/2012;ID002X;ID1000122807;B800MQ5;ASII.JK;Astra International Tbk PT;ID;Emerging;STANDARD
6/18/2012;BR049F;BRODPVACNOR4;B1H6R62;ODPV3.SA;Odontoprev;BR;Emerging;STANDARD
6/18/2012;IN095J;INE614G01033;B2NP5J9;RPOL.NS;Reliance Power;IN;Emerging;STANDARD
6/18/2012;MY00DX;MYL4715OO008;B1VXKN7;GENM.KL;Genting Malaysia BHD;MY;Emerging;STANDARD
6/18/2012;CN0OQD;CNE100000FN7;B3ZVDV0;1099.HK;Sinopharm Group;CN;Emerging;STANDARD
6/18/2012;ET011;TRETAVH00018;B1RMFT9;TAVHL.IS;TAV HAVALIMANLARI;TR;Emerging;STANDARD
6/18/2012;KR05JZ;KR7042670000;6211679;042670.KS;Doosan Infracore;KR;Emerging;STANDARD
6/18/2012;MA2064;MA0000011488;B04SJM4;IAM.CS;MAROC TELECOM;MA;Emerging;STANDARD
6/18/2012;BR2059;BROIBRACNOR1;B7XL4M8;OIBR3.SA;OI ON;BR;Emerging;STANDARD
6/18/2012;IN0A4J;INE151A01013;6114745;TATA.NS;Tata Communi;IN;Emerging;STANDARD
6/18/2012;CN24CH;CNE0000002M3;6196174;200012.SZ;CSG HOLDING 'B';CN;Emerging;STANDARD
6/18/2012;CO1023;COT29PA00058;B66Y3W0;GAA_p.CN;GRUPO AVAL -PREF;CO;Emerging;STANDARD
6/18/2012;CN1I9R;CNE100000981;B2PFVH7;1186.HK;CHINA RAILWAY CONSTRUCTION H;CN;Emerging;STANDARD
6/18/2012;MY239Y;MYL5210OO009;B3YX6Q3;BUAB.KL;BUMI ARMADA;MY;Emerging;STANDARD
6/18/2012;BR00IK;BRJBSSACNOR8;B1V74X7;JBSS3.SA;JBS SA;BR;Emerging;STANDARD
6/18/2012;ID00D8;ID1000095706;6687184;UNVR.JK;Unilever Indonesia Tbk PT;ID;Emerging;STANDARD
6/18/2012;CN1I6O;CNE100000HF9;B57JY24;1988.HK;CHINA MINSHENG BANKING H;CN;Emerging;STANDARD
6/18/2012;CN0P1P;CNE100000593;6706250;2328.HK;PICC P&C;CN;Emerging;STANDARD
6/18/2012;IN0A2H;INE040H01021;B0DX8R8;SUZL.NS;Suzlon Energy;IN;Emerging;STANDARD
6/18/2012;IN091F;INE013A01015;6101082;RLCP.NS;Reliance Capital;IN;Emerging;STANDARD
6/18/2012;ZA00OX;ZAE000134961;6182117;ACLJ.J;ARCELORMITTAL SA.;ZA;Emerging;STANDARD
6/18/2012;MY00TD;MYL2194OO008;6556648;MMCB.KL;MMC;MY;Emerging;STANDARD
6/18/2012;641613;HK0144000764;6416139;0144.HK;China Merchants Holdings Inter;CN;Emerging;STANDARD
6/18/2012;BR10JM;BRVALEACNPA3;2257127;VALE5.SA;VALE S.A. - PREF;BR;Emerging;STANDARD
6/18/2012;BR00CE;BRCRUZACNOR0;2832148;CRUZ3.SA;Souza Cruz SA;BR;Emerging;STANDARD
6/18/2012;MY007R;MYL1961OO001;B1Y3WG1;IOIB.KL;IOI Corp Bhd;MY;Emerging;STANDARD
6/18/2012;TW00H6;TW0002886009;6444066;2886.TW;Mega Financial Holding Co Ltd;TW;Emerging;STANDARD
6/18/2012;MY001L;MYL1155OO000;6556325;MBBM.KL;Malayan Banking Bhd;MY;Emerging;STANDARD
6/18/2012;PH101;HK3377040226;B24CVP7;3377.HK;Sino-Ocean Land Holdings Ltd.;CN;Emerging;STANDARD
6/18/2012;466356;TRAOTOSN91H6;B03MSR5;FROTO.IS;FORD OTOSAN;TR;Emerging;STANDARD
6/18/2012;IN0027;INE002A01018;6099626;RELI.NS;Reliance Industries Ltd;IN;Emerging;STANDARD
6/18/2012;ID00LG;ID1000068703;6043485;BUMI.JK;Bumi Resources Tbk PT;ID;Emerging;STANDARD
6/18/2012;B0B8Z4;PLLOTOS00025;B0B8Z41;LTOS.WA;GRUPA LOTOS;PL;Emerging;STANDARD
6/18/2012;TW011R;TW0001227007;6853554;1227.TW;Standard Foods;TW;Emerging;STANDARD
6/18/2012;TW00I7;TW0002382009;6141011;2382.TW;Quanta Computer Inc;TW;Emerging;STANDARD
6/18/2012;KR03M0;KR7010620003;6451066;010620.KS;Hyundai Mipo Dk;KR;Emerging;STANDARD
6/18/2012;ID0061;ID1000111602;6719764;PGAS.JK;Perusahaan Gas Negara PT;ID;Emerging;STANDARD
6/18/2012;KR18K4;KR7051911006;6346924;051915.KS;LG CHEM 1PF;KR;Emerging;STANDARD
6/18/2012;MY002M;MYL1023OO000;6075745;CIMB.KL;CIMB Group Holdings Bhd;MY;Emerging;STANDARD
6/18/2012;TW03LD;TW0002393006;6094922;2393.TW;Everlight Elec;TW;Emerging;STANDARD
