Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YON2P,IN,IN00BG,0.5406002,INE090A01021,BSZ2BY7,ICICI Bank Ltd,18311300269.0,0.003758890240292114
2019-03-18,E004YNK5N,KR,KR03Q4,1.0,KR7011170008,6440020,LOTTE CHEMICAL CORPORATION,4252624137.0,0.0008729662628744027
2019-03-18,E004YR9Z4,KR,KR18J3,1.0,KR7005381009,6451022,HYUNDAI MOTOR PF.,1401028075.0,0.0002875989514741515
2019-03-18,E004YPW19,TW,TW02MD,1.0,TW0002301009,6519481,Liteon Tech,3378871564.0,0.0006936048865203692
2019-03-18,E004YRDWF,ZA,ZA00CL,1.0,ZAE000004875,6628008,Nedbank Group Ltd,6198927802.0,0.0012724977949632925
2019-03-18,E004YRB7I,MY,MY001L,1.0,MYL1155OO000,6556325,Malayan Banking Bhd,10589087138.0,0.0021736968818110397
2019-03-18,E004YNRTG,CN,634007,1.0,BMG5320C1082,6340078,Kunlun Energy Co. Ltd.,3855974453.0,0.0007915431741750891
2019-03-18,E004YPJH0,MY,MY102N,1.0,MYL5183OO008,B5KQGT3,PETRONAS CHEMICALS GP.,3954076852.0,0.0008116813481295966
2019-03-18,E004YRBAE,MY,MY008S,1.0,MYL3182OO002,B1VXJL8,Genting Bhd,4124147682.0,0.0008465929914129325
2019-03-18,E004YNLDW,KR,KR05Q6,1.0,KR7051900009,6344456,LG H&H,12712429839.0,0.0026095704701600045
2019-03-18,E004YN059,TW,TW00B0,1.0,TW0003481008,B0CC0M5,INNOLUX CORP,3074031520.0,0.0006310282125863124
2019-03-18,E004YN7SJ,CN,671156,1.0,HK0836012952,6711566,China Resources Power Holdings,3341022057.0,0.0006858352502644979
2019-03-18,E004YRE14,TW,TW08JG,1.0,TW0009904003,6696157,Pou Chen,3268443792.0,0.0006709365959931957
2019-03-18,E004YNI57,TW,TW10WM,1.0,TW0002492006,6089694,Walsin Tech,1843059664.0,0.00037833790509208886
2019-03-18,E004YRBCK,KR,KR00EP,1.0,KR7000660001,6450267,SK HYNIX INC,32197827505.0,0.00660947599510709
2019-03-18,E004YPW13,IN,IN00QV,0.3917728,INE081A01012,6101156,Tata Steel Ltd,2211298655.0,0.00045392892970699496
2019-03-18,E004YRDGV,TH,TH101C,0.3590922,TH0264A10Z04,BLZGSL6,BGK.DUSIT MED.SVS.,2904713132.0,0.0005962710283991979
2019-03-18,E004YQN58,BR,BR0035,1.0,BRITUBACNPR1,B037HR3,ITAU UNIBANCO HOLDING SA -PREF,46879565530.0,0.009623300298241187
2019-03-18,E004YNK1L,TH,TH007H,0.6894535,TH0268010Z03,6412568,ADVANCED INFO SERVICE PCL,4230647938.0,0.0008684550529261029
2019-03-18,E004YR73N,CL,CL0030,1.0,CLP371861061,2299453,ENEL AMERICAS,4411594835.0,0.0009055993034791843
2019-03-18,E004YRDLT,KR,KR00HS,1.0,KR7096770003,B232R05,SK INNOVATION,10497027707.0,0.0021547991906788284
2019-03-18,E004YQKQA,IN,IN08AN,0.7499138,INE140A01024,B058J56,PIRAMAL ENTERPRISES,2982608774.0,0.0006122612182914354
