STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
ZA20V6;6105578;ZAE000134854;20190318;1;1.0
CN083A;B1WPGD4;CNE1000000D4;20190318;1;0.0389965
CN1E0E;B59GZJ7;CNE100000PP1;20190318;1;1.0
TW00SH;6718716;TW0006505001;20190318;1;1.0
405196;B03MP41;TRAASELS91H2;20190318;1;1.0
TH00T3;B074394;TH0834010009;20190318;1;1.0
BR805F;2683777;BRBRDTACNOR1;20190318;1;1.0
ID20LI;6404242;ID1000074008;20190318;1;1.0
MY102N;B5KQGT3;MYL5183OO008;20190318;1;1.0
IN06W7;6100186;INE101A01026;20190318;1;0.6991012
CN40MP;BJ3KJC4;CNE100001SL2;20190318;1;0.1
IN032A;B011108;INE059A01026;20190318;1;0.4617122
CN0QUJ;6664972;CNE000001FG0;20190318;1;0.0565611
CN20CD;B1LBS82;CNE000001Q93;20190318;1;0.1
BR30AF;2523367;BRLAMEACNOR9;20190318;1;1.0
IN00MR;BPFJHC7;INE238A01034;20190318;1;0.8295034
CN00DC;B1W0JF2;CNE1000001Q4;20190318;1;1.0
TH006G;6888783;TH0016010009;20190318;1;0.6370968
IN04QZ;B1BDGY0;INE102D01028;20190318;1;0.9645527
MY21K7;6695938;MYL5681OO001;20190318;1;1.0
CN209A;B24G126;CNE100000742;20190318;1;0.0416551
IN06CN;BZBYJJ7;INE019A01038;20190318;1;0.6920412
KR71EX;BYZ6DH8;KR7091990002;20190318;1;1.0
BR02Y2;B16FPG6;BREMBRACNOR4;20190318;1;1.0
CN40IL;B5NRRJ0;CNE100001QW3;20190318;1;1.0
CL00WT;2311238;CL0000000035;20190318;1;1.0
CN06AF;B3Y6LV2;CNE100000F46;20190318;1;0.0686185
ID002X;B800MQ5;ID1000122807;20190318;1;1.0
CN0QJ8;6683438;CNE000001FW7;20190318;1;0.0867804
CN1T1U;BYNC0S8;CNE100001ZS2;20190318;1;1.0
MY00EY;6681669;MYL4065OO008;20190318;1;1.0
B0L911;B0L9113;PLPGNIG00014;20190318;1;1.0
CN84KV;BFXNP16;CNE1000031K4;20190318;1;0.0561916
EG2051;6298177;EGS37091C013;20190318;1;1.0
TW007W;6621580;TW0001303006;20190318;1;1.0
BR1025;2292560;BRTIMPACNOR1;20190318;1;1.0
IN00UZ;B233HS6;INE752E01010;20190318;1;0.8055854
KR00ZA;6497112;KR7000120006;20190318;1;1.0
CN20QR;B3WXMX4;CNE1000018V8;20190318;1;0.1
CZ602J;BD3CQ16;CZ0008040318;20190318;1;1.0
TH207J;6304632;TH0465010005;20190318;1;0.8847976
CL6025;BYMLZD6;CL0002266774;20190318;1;1.0
CL00DA;2100845;CLP0939W1081;20190318;1;1.0
KR00AL;6397502;KR7055550008;20190318;1;1.0
CN2078;B29WFR2;CNE1000008M8;20190318;1;0.0668598
CN8FVH;BY9D3L9;KYG8875G1029;20190318;1;1.0
MY22AY;B2QPJK5;MYL5168OO009;20190318;1;1.0
466356;B03MSR5;TRAOTOSN91H6;20190318;1;1.0
CN70LR;BD8GL18;CNE1000029W3;20190318;1;1.0
CN0QSH;B05R5D3;CNE000001LJ2;20190318;1;0.067659
ID00YT;6462422;ID1000062201;20190318;1;1.0
KR002D;6771720;KR7005930003;20190318;1;1.0
MY007R;B1Y3WG1;MYL1961OO001;20190318;1;1.0
TW03F7;6051422;TW0002379005;20190318;1;1.0
CN0QH6;6422136;CNE000001998;20190318;1;0.0753958
CN90RZ;B1TL3R8;BMG423131256;20190318;1;1.0
TW04UN;B04BGQ6;TW0002633005;20190318;1;1.0
CN26Z6;B71SXC4;CNE1000019K9;20190318;1;1.0
KR06O5;B15SK50;KR7090430000;20190318;1;1.0
MX024P;2393388;MX01PI000005;20190318;1;0.8521739
CN0QVK;6579355;CNE000001DB6;20190318;1;0.0376553
PH049J;B5VJH76;PHY077751022;20190318;1;0.7476636
CN065A;B4KPYX3;CNE100000FX6;20190318;1;0.0958466
TW03E6;6133450;TW0002377009;20190318;1;1.0
CN8C0J;B1Z7FX0;HK0656038673;20190318;1;1.0
CN86HU;B02TT74;US3168271043;20190318;1;1.0
KR04O3;6765239;KR7028050003;20190318;1;1.0
CN0R4U;6547998;CNE000001CS2;20190318;1;0.0577478
CN20MN;B3FJ9X8;CNE100000D55;20190318;1;0.1
KR004F;6451055;KR7005380001;20190318;1;1.0
KY00HZ;2606440;US64110W1027;20190318;1;1.0
BR00PR;B3ZCNF7;BRVIVTACNPR7;20190318;1;1.0
ZA205G;6613219;ZAE000013017;20190318;1;1.0
CN00ED;6559335;CNE1000002V2;20190318;1;1.0
KR058O;6182076;KR7036460004;20190318;1;0.5620082
CN0RE4;6813116;CNE000000Q11;20190318;1;0.087184
B04KNF;B04KNF1;CNE1000001S0;20190318;1;1.0
BR00EG;B614LY3;BRCIELACNOR3;20190318;1;1.0
ID00RM;6315344;ID1000117708;20190318;1;1.0
KR005G;6346913;KR7051910008;20190318;1;1.0
IN03RZ;6099819;INE066A01013;20190318;1;0.8765653
CN0OTG;6536651;CNE100000296;20190318;1;1.0
KR507N;BSXN8K7;KR7028260008;20190318;1;1.0
IN05AK;BQGZWP9;INE176B01034;20190318;1;0.9294913
CN409C;B8XBQ96;CNE100001M79;20190318;1;1.0
CN0F5J;6087331;CNE000000SQ4;20190318;1;0.1
PH202A;B247XZ6;PHY5764J1483;20190318;1;1.0
KR01ZB;6665931;KR7002790004;20190318;1;1.0
474249;BD5ZXH8;HU0000153937;20190318;1;1.0
HK00RS;6181482;BMG1368B1028;20190318;1;1.0
KR04U9;6093231;KR7030000004;20190318;1;1.0
KR00Y9;6988337;KR7000100008;20190318;1;1.0
CN1M2O;BFD2096;CNE1000036N7;20190318;1;1.0
CN72PX;BP41ZD1;US01609W1027;20190318;1;1.0
KR10BN;B66CTX7;KR7081660003;20190318;1;1.0
404238;BC9ZH86;HU0000123096;20190318;1;1.0
MX00J2;2823885;MX01AC100006;20190318;1;1.0
IN00AF;B0166K8;INE018A01030;20190318;1;0.3456221
HK0157;B01YCG0;BMG0957L1090;20190318;1;1.0
TH00HR;6887876;TH0068010Z07;20190318;1;0.488828
CO1023;B66Y3W0;COT29PA00058;20190318;1;1.0
CN0W1W;6651297;CNE000001FB1;20190318;1;0.0498422
CN8D8S;B56KLY9;KYG5635P1090;20190318;1;1.0
626383;6263830;HK0000049939;20190318;1;1.0
KR70UC;BYYNHB2;KR7215600008;20190318;1;1.0
ZA211D;6777007;ZAE000006284;20190318;1;1.0
TH00DN;B08YDG0;TH0737010Y08;20190318;1;0.705036
TW00NC;6700393;TW0001216000;20190318;1;1.0
BR2015;B1YBRK4;BRCMIGACNOR6;20190318;1;1.0
ZA00U3;6177878;ZAE000022331;20190318;1;1.0
KR01DP;6189516;KR7001040005;20190318;1;1.0
431519;B03MS97;TRAEREGL91G3;20190318;1;1.0
TH00MW;6581907;TH0143010Z08;20190318;1;0.3593749
MX008R;2421041;MXP370711014;20190318;1;1.0
634007;6340078;BMG5320C1082;20190318;1;1.0
PH227;B41XC98;KYG2113L1068;20190318;1;1.0
IN1017;6582483;INE044A01036;20190318;1;1.0
CN1I8Q;B2R2ZC9;CNE100000BG0;20190318;1;1.0
CN8EXI;B6V94F0;KYG3701A1067;20190318;1;1.0
MY22ZN;6752349;MYL4162OO003;20190318;1;1.0
CN8B8Q;BPYM749;BMG0171W1055;20190318;1;1.0
619615;6196152;HK0267001375;20190318;1;1.0
KR00EP;6450267;KR7000660001;20190318;1;1.0
CN8B2K;B00XSF9;KYG8167W1380;20190318;1;1.0
CN1I5N;B0766H9;CNE000001LV7;20190318;1;0.044517
TH20ZB;BF13JT4;TH0279010Y01;20190318;1;1.0
KR718R;BF2S426;KR7251270005;20190318;1;1.0
IN00DI;6253767;INE242A01010;20190318;1;1.0
CN71DK;BVHFB90;CNE100002FD4;20190318;1;0.0696541
TW050U;6199816;TW0002823002;20190318;1;1.0
CN0CGR;6314697;CNE0000016L5;20190318;1;0.0412314
TH20T5;6418920;TH0528010Z00;20190318;1;1.0
CN64CL;B4R3NW2;CNE1000015R2;20190318;1;0.0815883
ZA215H;6040958;ZAE000049433;20190318;1;1.0
672529;6725299;CNE100000502;20190318;1;1.0
MY003N;B29TTR1;MYL4197OO009;20190318;1;1.0
CN86N0;B4MGD82;US8740801043;20190318;1;1.0
MX004N;2380108;MXP4987V1378;20190318;1;1.0
BR00MO;BD1WX84;BREGIEACNOR9;20190318;1;1.0
ID00C7;6454861;ID1000061302;20190318;1;1.0
CN1BMX;6171375;CNE1000002K5;20190318;1;1.0
ZA008H;6606996;ZAE000066304;20190318;1;1.0
CN88YD;6136233;KYG4402L1510;20190318;1;1.0
KR17VE;6346935;KR7051901007;20190318;1;1.0
BR3038;2836946;BRKROTACNOR9;20190318;1;1.0
MX00DW;2434760;MX01ME050007;20190318;1;1.0
TW13KD;6345783;TW0001476000;20190318;1;1.0
CN2067;B1G2JY3;CNE000001P37;20190318;1;0.1
KR00OZ;6771645;KR7006400006;20190318;1;1.0
TW00K9;6916628;TW0002303005;20190318;1;1.0
BR306B;B9N3SQ0;BRBBSEACNOR5;20190318;1;1.0
581006;5810066;PLPKN0000018;20190318;1;1.0
TW033V;6801779;TW0002354008;20190318;1;1.0
MY70E5;BF3N1G3;MYL5284OO004;20190318;1;1.0
PH20IQ;B77H110;PHY290451046;20190318;1;0.9076469
CN27DL;B759P50;CNE100001FR6;20190318;1;0.0436872
CN72LT;BD2Z4Y5;CNE100002K47;20190318;1;0.0631712
CN0ZFD;6743815;CNE000001GS3;20190318;1;0.0630915
CN60UZ;6422879;CNE0000018V0;20190318;1;0.1
TW05D7;6451680;TW0002887007;20190318;1;1.0
KR508O;6517407;KR7028300002;20190318;1;1.0
CN20GH;B2NWDF2;CNE100000957;20190318;1;0.1
PK20Q1;6732716;PK0080201012;20190318;1;1.0
CN0021;B1G1QD8;CNE1000003G1;20190318;1;1.0
CN0133;6479024;CNE000000JW1;20190318;1;0.0653168
EV021;B59SS16;RU000A0J2Q06;20190318;1;1.0
CN04JM;B2QZ4S8;CNE100000B24;20190318;1;0.0457806
TW080X;6599676;TW0006239007;20190318;1;1.0
CN805C;BD4GT29;CNE100002FK9;20190318;1;1.0
KR01MY;B01LXY6;KR7001450006;20190318;1;1.0
CN04UX;B3CPT84;CNE100000CP9;20190318;1;0.0761615
691316;6913168;HK0270001396;20190318;1;1.0
CN6016;B02FVZ4;CNE000001KK2;20190318;1;0.0391338
IN03JR;6602518;INE361B01024;20190318;1;0.5550416
KR05BR;6264189;KR7036570000;20190318;1;1.0
CN0QNC;6307954;CNE0000015R4;20190318;1;0.0836587
CN00A9;B09N7M0;CNE1000002R0;20190318;1;1.0
CN0EO1;6037596;CNE000000VB0;20190318;1;0.0635459
CN12IK;6902854;CNE0000009Y3;20190318;1;0.0718047
ZA805M;BFXG366;ZAE000259479;20190318;1;1.0
CN05AE;B1JPCH3;CNE000001Q02;20190318;1;0.1
CN86KX;BFMFKK7;US44332N1063;20190318;1;1.0
BR704D;B4975P9;BRMGLUACNOR2;20190318;1;1.0
KR00KV;6771689;KR7009150004;20190318;1;1.0
IN00OT;B611LV1;INE155A01022;20190318;1;0.6067961
CN86W9;BH5QGR0;US05278C1071;20190318;1;1.0
TW03A2;6875677;TW0002371002;20190318;1;1.0
CN875J;BYXV9H7;US44842L1035;20190318;1;1.0
CN0YYV;6695228;CNE000001G38;20190318;1;0.070922
IN057H;6327327;INE158A01026;20190318;1;0.747179
EV050;B59GLW2;RU000A0JKQU8;20190318;1;1.0
TH00S2;B6SR7L4;TH0481B10Z00;20190318;1;0.4065592
KR055L;6683449;KR7035250000;20190318;1;1.0
CN07MS;6036991;CNE000000SS0;20190318;1;0.0659341
TW002R;6438564;TW0002317005;20190318;1;1.0
EV023;4767981;RU0009029540;20190318;1;1.0
641613;6416139;HK0144000764;20190318;1;1.0
505160;5051605;GRS260333000;20190318;1;1.0
555255;5552551;PLTLKPL00017;20190318;1;1.0
MX016Q;2639349;MXP001661018;20190318;1;0.507989
MY00G0;6868398;MYL4863OO006;20190318;1;1.0
CN10QQ;6334350;CNE0000017M1;20190318;1;0.0447561
CN00CB;B2Q5H56;CNE1000009Q7;20190318;1;1.0
TW10WM;6089694;TW0002492006;20190318;1;1.0
CN0537;B2PPPG4;CNE1000009T1;20190318;1;0.075662
BR00BD;BG36ZK1;BRB3SAACNOR6;20190318;1;1.0
KR03JX;6495428;KR7010130003;20190318;1;1.0
ZA005E;6761000;ZAE000013181;20190318;1;1.0
TW05C6;6433912;TW0002884004;20190318;1;1.0
ZA704K;BDD7WV3;IM00BDD7WV31;20190318;1;1.0
KR009K;6495730;KR7015760002;20190318;1;0.8179959
TW601W;BSZLN15;TW0008464009;20190318;1;1.0
