STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CO1034;B4KC973;COB51PA00076;20190318;1;1.0
CO10GH;B88KB04;EST01PA00013;20190318;1;1.0
487454;4874546;CS0008418869;20190318;1;1.0
EG20EA;6005474;EGS38191C010;20190318;1;1.0
EG0060;B0S6009;EGS48031C016;20190318;1;1.0
EG003X;B1VZ1Q3;EGS74081C018;20190318;1;1.0
EG0071;6139470;EGS69101C011;20190318;1;1.0
EG00C6;B4RJHG2;EGS30901C010;20190318;1;1.0
EG20KG;6311881;EGS65571C019;20190318;1;1.0
EG00A4;B2R2W06;EGS655L1C012;20190318;1;1.0
589866;5898664;GRS393503008;20190318;1;1.0
B1296H;B1296H0;GRS491003000;20190318;1;1.0
493461;BJVX2Q0;BE0974271034;20190318;1;1.0
B28XVV;B28XVV2;GRS496003005;20190318;1;1.0
586019;5860191;GRS359353000;20190318;1;1.0
B1ZBHG;B1ZBHG9;GRS495003006;20190318;1;1.0
412267;BZ3CDP3;GRS014003024;20190318;1;1.0
442170;4421704;GRS145003000;20190318;1;1.0
424894;4248947;GRS245213004;20190318;1;1.0
712495;7124958;GRS204003008;20190318;1;1.0
457746;4577469;HU0000073507;20190318;1;1.0
ID1264;B39NJF8;ID1000090301;20190318;1;1.0
ID20SP;6545248;ID1000092703;20190318;1;1.0
ID00E9;B0217K9;ID1000109309;20190318;1;1.0
ID20FC;B7JW351;ID1000125503;20190318;1;1.0
ID20IF;B2RJPM0;ID1000110802;20190318;1;1.0
ID5022;B7VW3S2;ID1000126105;20190318;1;1.0
ID00OJ;6053859;ID1000106602;20190318;1;1.0
ID00JE;B29SK75;ID1000108509;20190318;1;0.8564716
ID00KF;6092498;ID1000066004;20190318;1;1.0
ID202Z;6048156;ID1000106701;20190318;1;1.0
ID20NK;B3Z3L12;ID1000115702;20190318;1;1.0
ID20XU;B4MW045;ID1000116908;20190318;1;1.0
ID2074;B03VZ37;ID1000099807;20190318;1;1.0
ID8069;BF0TC49;ID1000138803;20190318;1;1.0
ID012Y;6665878;ID1000113301;20190318;1;1.0
ID201Y;6254511;ID1000053705;20190318;1;1.0
ID20A7;6291767;ID1000115306;20190318;1;1.0
ID3031;B28V4M8;ID1000107600;20190318;1;1.0
ID80MP;BFNBJ41;ID1000142805;20190318;1;1.0
ID7057;BH7HMM8;ID1000130305;20190318;1;1.0
ID30EC;6671422;ID1000095607;20190318;1;1.0
ID20DA;6538527;ID1000092406;20190318;1;1.0
ID20TQ;B03CPL8;ID1000099500;20190318;1;1.0
ID013Z;B6277R6;ID1000114002;20190318;1;1.0
ID11SP;B7DZ3H8;ID1000124308;20190318;1;1.0
ID30GE;B8FQLP0;ID1000123904;20190318;1;1.0
ID4065;BH3WHX3;ID1000130008;20190318;1;1.0
ID001W;6875730;ID1000111800;20190318;1;1.0
ID00SN;B2RHG43;ID1000110901;20190318;1;1.0
ID7046;BD3RRL8;ID1000137706;20190318;1;1.0
ID00LG;6043485;ID1000068703;20190318;1;1.0
ID20MJ;B3CXGM1;ID1000111909;20190318;1;1.0
ID4010;6129813;ID1000059603;20190318;1;1.0
ID00UP;6535670;ID1000118409;20190318;1;1.0
ID6056;BNY7RL7;ID1000132202;20190318;1;1.0
ID5088;BB22C48;ID1000127400;20190318;1;1.0
IN00TY;6139726;INE267A01025;20190318;1;1.0
IN09GU;6100357;INE070A01015;20190318;1;0.2979983
IN079L;6743990;INE775A01035;20190318;1;0.1181601
IN703F;BYYZ7D0;INE646L01027;20190318;1;0.3668831
IN706I;BD0FRL5;INE976G01028;20190318;1;0.2570419
IN70Q2;BYPCLL6;INE931S01010;20190318;1;0.5398666
IN05OY;B1685L0;INE663F01024;20190318;1;0.8144649
IN904I;BYWZNK1;INE092T01019;20190318;1;0.8029911
IN12MU;B40MFF3;INE414G01012;20190318;1;0.4472605
IN05IS;BD9PXD0;INE203G01027;20190318;1;0.678733
IN06ZA;6151593;INE356A01018;20190318;1;1.0
IN10Z5;6135809;INE121A01016;20190318;1;0.3851445
IN0B2I;B1FCQX2;INE226A01021;20190318;1;0.4643244
IN01FL;B3WQH49;INE814H01011;20190318;1;0.4672667
IN70O0;BYZ02R3;INE913H01037;20190318;1;1.0
IN03W4;6741035;INE548C01032;20190318;1;0.6235386
IN0AKZ;B6Z1L73;INE245A01021;20190318;1;0.3687619
IN601C;B86PGH3;INE647O01011;20190318;1;0.5502063
IN209G;6388788;INE787D01026;20190318;1;0.5069708
IN034C;6580012;INE476A01014;20190318;1;0.9920635
IN105B;B4MXNL6;INE093I01010;20190318;1;0.9290802
IN70FR;B2QP4C2;INE274G01010;20190318;1;1.0
IN08ZC;B0JJVB5;INE343B01030;20190318;1;1.0
IN04LU;6698755;INE935A01035;20190318;1;0.8045793
IN10EK;B3PRM66;INE797F01012;20190318;1;1.0
IN714H;BF1YBK2;INE949L01017;20190318;1;0.6676659
IN0A4J;6114745;INE151A01013;20190318;1;0.7584532
IN044D;BFT7KB7;INE171A01029;20190318;1;0.74
IN04R0;B1BFBC9;INE233A01035;20190318;1;0.8080808
IN05JT;B1FRT61;INE053A01029;20190318;1;0.392863
IN10DJ;BGQL729;INE484J01027;20190318;1;0.5188179
IN01IO;B0QDXM5;INE212H01026;20190318;1;1.0
IN01SY;6273583;INE437A01024;20190318;1;0.8144411
IN07GS;6698153;INE331A01037;20190318;1;0.3957131
IN00IN;6726816;INE749A01030;20190318;1;0.8454872
IN072E;B1LHCW2;INE018I01017;20190318;1;1.0
IN708K;BD0RYG5;INE200M01013;20190318;1;0.7107916
IN11HO;6136073;INE195A01028;20190318;1;0.6387056
IN01HN;B01VRK0;INE423A01024;20190318;1;0.6962576
IN11JQ;6313940;INE491A01021;20190318;1;0.4
IN118F;6374947;INE647A01010;20190318;1;0.3409828
IN60HS;BD87BS8;INE299U01018;20190318;1;1.0
IN109F;B4TL227;INE180K01011;20190318;1;0.455637
IN50LV;BR2NB24;INE006I01046;20190318;1;0.3715094
IN039H;B0VDZN5;INE169A01031;20190318;1;0.608828
IN408H;B992PT3;INE603J01030;20190318;1;0.8230453
IN03PX;B291KM9;INE532F01054;20190318;1;0.6356207
IN01TZ;6168902;INE438A01022;20190318;1;0.6098387
IN06DO;B10SSN9;INE700A01033;20190318;1;0.7440476
IN106C;6121488;INE192A01025;20190318;1;0.4266098
IN50IS;BYXXQB6;INE398R01022;20190318;1;0.8278717
IN0A8N;B10SSP1;INE152A01029;20190318;1;0.6970665
IN0AET;B1JLL30;INE813H01021;20190318;1;0.768738
