Date;MSCIPriceUSD;Close
3/20/2020;747.74;758.96
3/23/2020;704.89;716.58
3/24/2020;744.56;758.09
3/25/2020;777.34;791.38
3/26/2020;791.77;806.20
3/27/2020;784.30;798.45
3/30/2020;774.93;788.85
3/31/2020;790.19;804.71
4/1/2020;770.78;784.28
4/2/2020;780.88;794.44
4/3/2020;774.59;788.26
4/6/2020;795.03;809.59
4/7/2020;817.93;831.23
4/8/2020;814.91;827.87
4/9/2020;827.81;841.42
4/10/2020;828.50;842.20
4/13/2020;823.71;837.83
4/14/2020;836.40;850.54
4/15/2020;829.25;843.04
4/16/2020;826.33;841.85
4/17/2020;841.45;857.56
4/20/2020;840.17;856.73
4/21/2020;820.40;836.32
4/22/2020;829.90;845.99
4/23/2020;833.37;849.03
4/24/2020;821.72;837.00
4/27/2020;836.87;852.13
4/28/2020;843.92;859.03
4/29/2020;859.75;875.75
4/30/2020;864.79;880.01
5/1/2020;857.57;872.19
5/4/2020;831.06;846.65
5/5/2020;838.03;854.40
5/6/2020;840.59;857.58
5/7/2020;839.28;856.44
5/8/2020;852.79;870.83
5/11/2020;856.44;874.75
5/12/2020;850.51;867.91
5/13/2020;850.37;868.45
5/14/2020;842.61;860.78
5/15/2020;843.20;861.44
5/18/2020;853.05;872.56
5/19/2020;864.67;884.69
5/20/2020;870.68;890.79
5/21/2020;870.12;889.89
5/22/2020;847.93;865.42
5/25/2020;854.12;872.36
5/26/2020;868.29;888.32
5/27/2020;869.28;888.87
5/28/2020;867.10;886.54
5/29/2020;871.23;892.10
6/1/2020;891.37;912.62
6/2/2020;906.42;928.66
6/3/2020;925.32;949.62
6/4/2020;926.23;949.94
6/5/2020;939.90;965.04
6/8/2020;945.14;969.74
6/9/2020;946.89;971.99
6/10/2020;949.57;975.40
6/11/2020;931.99;956.32
6/12/2020;925.67;949.27
6/15/2020;905.83;928.82
6/16/2020;928.09;953.23
6/17/2020;932.47;957.44
6/18/2020;933.22;958.16
6/19/2020;938.88;963.82
6/22/2020;938.19;963.36
6/23/2020;951.06;976.74
6/24/2020;947.50;973.57
6/25/2020;941.76;967.05
6/26/2020;936.58;961.88
6/29/2020;932.10;956.51
6/30/2020;933.32;957.94
7/1/2020;939.12;963.93
7/2/2020;959.65;985.65
7/3/2020;968.61;995.09
7/6/2020;993.84;1021.84
7/7/2020;986.65;1013.75
7/8/2020;1002.28;1030.69
7/9/2020;1010.97;1039.65
7/10/2020;1001.36;1028.80
7/13/2020;1003.99;1030.44
7/14/2020;992.82;1018.96
7/15/2020;999.22;1025.45
7/16/2020;981.05;1006.54
7/17/2020;989.23;1014.99
7/20/2020;998.10;1024.70
7/21/2020;1017.64;1044.82
7/22/2020;1011.29;1037.66
7/23/2020;1011.28;1037.09
7/24/2020;995.31;1020.80
7/27/2020;1006.40;1032.37
7/28/2020;1013.93;1040.28
7/29/2020;1018.49;1045.41
7/30/2020;1014.51;1041.66
7/31/2020;1012.22;1038.94
8/3/2020;1011.22;1038.27
8/4/2020;1022.12;1050.25
8/5/2020;1035.05;1063.75
8/6/2020;1038.48;1067.49
8/7/2020;1023.38;1050.99
8/10/2020;1021.12;1048.55
8/11/2020;1025.36;1053.30
8/12/2020;1026.95;1055.64
8/13/2020;1029.16;1057.66
8/14/2020;1026.41;1054.53
8/17/2020;1032.08;1060.10
8/18/2020;1036.36;1063.94
8/19/2020;1032.21;1059.97
8/20/2020;1014.15;1040.44
8/21/2020;1024.88;1052.02
8/24/2020;1039.91;1067.64
8/25/2020;1046.02;1074.91
8/26/2020;1050.09;1078.83
8/27/2020;1048.07;1075.90
8/28/2020;1052.64;1079.95
8/31/2020;1035.24;1061.13
9/1/2020;1051.85;1079.53
9/2/2020;1051.21;1078.60
9/3/2020;1042.64;1069.23
9/4/2020;1034.09;1060.41
9/7/2020;1029.78;1056.15
9/8/2020;1023.13;1049.33
9/9/2020;1021.37;1047.49
9/10/2020;1021.06;1046.64
9/11/2020;1026.53;1052.17
9/14/2020;1038.73;1064.84
9/15/2020;1046.66;1073.59
9/16/2020;1050.63;1077.46
9/17/2020;1041.56;1068.34
9/18/2020;1043.58;1070.68
9/21/2020;1025.86;1053.00
9/22/2020;1018.17;1045.14
9/23/2020;1013.13;1039.27
9/24/2020;993.89;1018.56
9/25/2020;995.05;1020.57
9/28/2020;1005.70;1031.15
9/29/2020;1005.14;1030.30
9/30/2020;1016.91;1042.34
10/1/2020;1019.89;1045.68
10/2/2020;1017.08;1041.99
10/5/2020;1026.21;1051.87
10/6/2020;1036.57;1062.30
10/7/2020;1041.30;1067.33
10/8/2020;1050.08;1076.25
10/9/2020;1054.62;1081.62
10/12/2020;1067.38;1094.86
10/13/2020;1066.54;1093.53
10/14/2020;1065.76;1092.06
10/15/2020;1052.04;1077.49
10/16/2020;1054.94;1080.75
10/19/2020;1057.98;1084.05
10/20/2020;1064.28;1091.39
10/21/2020;1067.98;1094.91
10/22/2020;1066.57;1093.43
10/23/2020;1066.59;1093.53
10/26/2020;1060.45;1088.40
10/27/2020;1063.12;1090.94
10/28/2020;1050.96;1078.33
10/29/2020;1049.97;1078.77
10/30/2020;1034.49;1062.05
11/2/2020;1044.25;1071.94
11/3/2020;1050.94;1079.48
11/4/2020;1063.89;1093.07
11/5/2020;1092.65;1123.26
11/6/2020;1101.80;1132.68
11/9/2020;1117.60;1148.66
11/10/2020;1106.79;1136.46
11/11/2020;1106.27;1136.86
11/12/2020;1108.70;1138.87
11/13/2020;1114.38;1145.50
11/16/2020;1128.23;1158.64
11/17/2020;1127.36;1158.95
11/18/2020;1133.42;1165.71
11/19/2020;1127.27;1159.54
11/20/2020;1135.34;1167.96
11/23/2020;1145.82;1178.80
11/24/2020;1150.80;1184.34
11/25/2020;1144.13;1177.00
11/26/2020;1154.86;1188.46
11/27/2020;1156.85;1191.05
11/30/2020;1134.52;1166.77
12/1/2020;1151.75;1185.73
12/2/2020;1156.39;1191.57
12/3/2020;1166.23;1201.67
12/4/2020;1176.99;1213.65
12/7/2020;1179.46;1216.26
12/8/2020;1180.16;1215.91
12/9/2020;1181.96;1217.67
12/10/2020;1181.26;1217.22
12/11/2020;1183.63;1220.02
12/14/2020;1177.79;1213.09
12/15/2020;1177.56;1211.84
12/16/2020;1190.50;1225.48
12/17/2020;1198.76;1234.21
12/18/2020;1194.90;1229.95
12/21/2020;1183.59;1218.40
12/22/2020;1175.22;1208.87
12/23/2020;1184.18;1217.26
12/24/2020;1181.01;1213.99
12/25/2020;1182.57;1215.97
12/28/2020;1181.03;1214.67
12/29/2020;1194.27;1229.09
12/30/2020;1214.07;1250.69
12/31/2020;1216.06;1252.73
1/4/2021;1229.48;1266.63
1/5/2021;1242.48;1281.86
1/6/2021;1238.32;1278.01
1/7/2021;1245.06;1286.90
1/8/2021;1272.38;1316.76
1/11/2021;1268.13;1310.84
1/12/2021;1271.61;1314.92
1/13/2021;1281.41;1325.52
1/14/2021;1288.07;1333.29
1/15/2021;1275.71;1320.82
1/18/2021;1275.84;1320.36
1/19/2021;1296.33;1341.79
1/20/2021;1313.58;1359.84
1/21/2021;1318.08;1364.87
1/22/2021;1306.35;1351.43
1/25/2021;1321.44;1368.24
1/26/2021;1302.55;1347.96
1/27/2021;1287.13;1332.24
1/28/2021;1267.52;1311.73
1/29/2021;1248.37;1290.39
2/1/2021;1277.11;1322.16
2/2/2021;1296.33;1343.05
2/3/2021;1307.04;1355.71
2/4/2021;1302.59;1351.11
2/5/2021;1309.78;1358.10
2/8/2021;1314.78;1362.85
2/9/2021;1323.06;1370.77
2/10/2021;1335.47;1384.22
2/11/2021;1340.25;1388.99
2/12/2021;1341.24;1390.20
2/15/2021;1349.75;1399.17
2/16/2021;1354.36;1404.93
2/17/2021;1356.87;1408.32
2/18/2021;1339.78;1390.78
2/19/2021;1344.27;1395.59
2/22/2021;1315.77;1365.29
2/23/2021;1316.16;1366.57
2/24/2021;1296.49;1345.49
2/25/2021;1304.12;1353.81
2/26/2021;1264.21;1311.30
3/1/2021;1284.99;1333.75
3/2/2021;1282.26;1330.21
3/3/2021;1299.23;1348.47
3/4/2021;1271.62;1320.28
3/5/2021;1264.47;1313.97
3/8/2021;1235.75;1282.56
3/9/2021;1243.57;1290.75
3/10/2021;1250.57;1296.00
3/11/2021;1280.66;1328.51
3/12/2021;1273.38;1320.78
3/15/2021;1266.61;1313.13
3/16/2021;1275.34;1321.19
3/17/2021;1269.63;1314.34
3/18/2021;1273.69;1318.99
3/19/2021;1264.42;1308.20
3/22/2021;1263.88;1307.45
3/23/2021;1252.33;1296.02
3/24/2021;1229.59;1269.84
3/25/2021;1220.46;1261.33
3/26/2021;1238.12;1279.14
3/29/2021;1240.41;1280.55
3/30/2021;1249.26;1289.99
3/31/2021;1246.83;1285.96
4/1/2021;1263.77;1303.98
4/2/2021;1266.38;1306.98
4/5/2021;1266.81;1307.17
4/6/2021;1274.62;1315.97
4/7/2021;1268.34;1308.47
4/8/2021;1273.14;1313.10
4/9/2021;1261.80;1300.91
4/12/2021;1253.57;1292.86
4/13/2021;1254.90;1294.76
4/14/2021;1266.29;1306.47
4/15/2021;1270.79;1310.32
4/16/2021;1278.69;1318.99
4/19/2021;1279.18;1319.26
4/20/2021;1279.02;1318.17
4/21/2021;1269.52;1307.85
4/22/2021;1273.41;1312.95
4/23/2021;1283.77;1324.20
4/26/2021;1291.92;1332.45
4/27/2021;1293.63;1334.21
4/28/2021;1296.32;1334.74
4/29/2021;1296.28;1334.62
4/30/2021;1281.06;1318.29
5/3/2021;1272.28;1308.91
5/4/2021;1267.39;1303.96
5/5/2021;1265.93;1303.20
5/6/2021;1273.46;1310.85
5/7/2021;1281.88;1319.35
5/10/2021;1281.46;1318.11
5/11/2021;1264.62;1300.53
5/12/2021;1250.26;1284.81
5/13/2021;1229.83;1261.90
5/14/2021;1242.83;1275.95
5/17/2021;1245.02;1277.39
5/18/2021;1266.32;1299.91
5/19/2021;1261.32;1295.32
5/20/2021;1262.64;1296.73
5/21/2021;1264.07;1297.94
5/24/2021;1261.80;1296.63
5/25/2021;1278.71;1313.25
5/26/2021;1285.31;1320.14
5/27/2021;1288.60;1322.26
5/28/2021;1294.69;1330.59
5/31/2021;1308.52;1343.89
6/1/2021;1321.90;1358.39
6/2/2021;1320.23;1357.37
6/3/2021;1316.79;1353.47
6/4/2021;1314.87;1351.96
6/7/2021;1314.94;1351.39
6/8/2021;1312.42;1349.34
6/9/2021;1307.82;1344.28
6/10/2021;1314.19;1350.45
6/11/2021;1316.98;1354.12
6/14/2021;1318.14;1355.64
6/15/2021;1313.98;1350.08
6/16/2021;1306.22;1343.41
6/17/2021;1299.37;1336.65
6/18/2021;1297.84;1334.10
6/21/2021;1287.31;1323.33
6/22/2021;1284.77;1321.69
6/23/2021;1296.83;1333.80
6/24/2021;1303.17;1341.04
6/25/2021;1314.05;1354.73
6/28/2021;1315.46;1354.07
6/29/2021;1311.90;1350.18
6/30/2021;1310.42;1348.63
7/1/2021;1304.30;1340.71
7/2/2021;1293.51;1330.05
7/5/2021;1293.89;1332.23
7/6/2021;1286.35;1322.38
7/7/2021;1280.99;1314.41
7/8/2021;1258.95;1291.62
7/9/2021;1260.42;1294.49
7/12/2021;1268.96;1302.86
7/13/2021;1279.83;1314.23
7/14/2021;1279.01;1312.51
7/15/2021;1288.93;1323.62
7/16/2021;1281.80;1315.32
7/19/2021;1260.96;1293.27
7/20/2021;1254.43;1286.53
7/21/2021;1255.49;1287.52
7/22/2021;1269.11;1302.32
7/23/2021;1256.11;1287.72
7/26/2021;1228.91;1257.02
7/27/2021;1204.19;1233.84
7/28/2021;1217.05;1248.37
7/29/2021;1242.44;1271.39
7/30/2021;1226.63;1255.88
8/2/2021;1240.78;1270.66
8/3/2021;1241.45;1268.78
8/4/2021;1250.19;1279.23
8/5/2021;1246.88;1274.92
8/6/2021;1239.98;1267.37
8/9/2021;1240.59;1269.00
8/10/2021;1245.04;1271.97
8/11/2021;1241.96;1269.20
8/12/2021;1236.77;1263.33
8/13/2021;1226.96;1252.92
8/16/2021;1218.58;1243.23
8/17/2021;1202.85;1226.22
8/18/2021;1209.00;1233.08
8/19/2021;1181.69;1203.00
8/20/2021;1170.65;1191.81
8/23/2021;1186.68;1211.37
8/24/2021;1216.32;1241.48
8/25/2021;1221.94;1246.79
8/26/2021;1213.72;1237.40
8/27/2021;1220.36;1244.17
8/30/2021;1232.88;1256.88
8/31/2021;1253.90;1277.95
9/1/2021;1257.73;1284.79
9/2/2021;1257.02;1282.16
9/3/2021;1261.01;1287.23
9/6/2021;1268.49;1294.83
9/7/2021;1269.17;1296.66
9/8/2021;1256.70;1281.50
9/9/2021;1245.70;1271.27
9/10/2021;1254.02;1278.69
9/13/2021;1247.78;1274.22
9/14/2021;1243.79;1268.62
9/15/2021;1237.55;1262.57
