Date;MSCI;SAMCO@20241018
10/26/2020;987.93;993.70
10/27/2020;986.31;991.50
10/28/2020;977.20;982.04
10/29/2020;972.96;979.60
10/30/2020;959.68;965.82
11/2/2020;961.47;968.90
11/3/2020;975.98;982.96
11/4/2020;983.33;989.94
11/5/2020;1007.70;1016.35
11/6/2020;1013.07;1023.33
11/9/2020;1034.60;1042.65
11/10/2020;1032.08;1040.35
11/11/2020;1035.88;1044.19
11/12/2020;1032.75;1040.81
11/13/2020;1036.51;1043.68
11/16/2020;1050.02;1054.39
11/17/2020;1054.80;1060.35
11/18/2020;1063.18;1069.70
11/19/2020;1061.94;1067.82
11/20/2020;1067.76;1074.13
11/23/2020;1076.83;1082.21
11/24/2020;1080.11;1085.03
11/25/2020;1078.72;1082.60
11/27/2020;1099.84;1103.06
11/30/2020;1094.17;1096.42
12/1/2020;1105.87;1107.37
12/2/2020;1112.10;1113.06
12/3/2020;1119.23;1120.39
12/4/2020;1128.47;1128.74
12/7/2020;1133.00;1133.73
12/8/2020;1132.87;1133.12
12/9/2020;1136.87;1135.59
12/10/2020;1136.81;1135.56
12/11/2020;1138.21;1136.51
12/14/2020;1140.41;1139.56
12/15/2020;1140.08;1140.48
12/16/2020;1153.65;1153.46
12/17/2020;1158.78;1159.50
12/18/2020;1158.88;1160.66
12/21/2020;1142.85;1147.55
12/22/2020;1130.26;1134.50
12/23/2020;1139.91;1142.05
12/24/2020;1146.08;1147.69
12/28/2020;1155.55;1158.26
12/29/2020;1165.41;1166.56
12/30/2020;1174.99;1177.88
12/31/2020;1176.02;1181.64
1/4/2021;1197.42;1201.73
1/5/2021;1196.56;1204.17
1/6/2021;1194.32;1203.11
1/7/2021;1202.26;1210.08
1/8/2021;1211.53;1222.90
1/11/2021;1202.98;1209.76
1/12/2021;1204.24;1212.78
1/13/2021;1212.96;1221.25
1/14/2021;1222.37;1229.46
1/15/2021;1207.42;1214.66
1/19/2021;1216.72;1227.70
1/20/2021;1223.10;1236.08
1/21/2021;1225.03;1236.90
1/22/2021;1219.52;1230.76
1/25/2021;1223.92;1235.50
1/26/2021;1216.26;1227.72
1/27/2021;1208.74;1217.25
1/28/2021;1189.84;1198.19
1/29/2021;1176.56;1185.01
2/1/2021;1196.61;1207.18
2/2/2021;1217.63;1229.95
2/3/2021;1227.39;1241.66
2/4/2021;1225.32;1238.77
2/5/2021;1231.51;1242.84
2/8/2021;1242.79;1253.95
2/9/2021;1246.75;1259.18
2/10/2021;1253.98;1268.13
2/11/2021;1259.63;1275.12
2/12/2021;1261.10;1277.83
2/16/2021;1278.60;1299.90
2/17/2021;1280.25;1300.55
2/18/2021;1276.35;1292.71
2/19/2021;1279.70;1296.81
2/22/2021;1268.09;1278.69
2/23/2021;1267.53;1278.47
2/24/2021;1252.72;1261.12
2/25/2021;1268.13;1276.80
2/26/2021;1246.05;1251.85
3/1/2021;1257.23;1266.96
3/2/2021;1253.98;1260.00
3/3/2021;1267.56;1271.99
3/4/2021;1259.36;1257.47
3/5/2021;1248.08;1244.69
3/8/2021;1225.61;1216.98
3/9/2021;1222.14;1218.53
3/10/2021;1231.97;1226.97
3/11/2021;1255.14;1255.05
3/12/2021;1261.19;1261.46
3/15/2021;1260.61;1260.13
3/16/2021;1272.60;1273.50
3/17/2021;1268.69;1270.61
3/18/2021;1270.95;1271.45
3/19/2021;1267.01;1266.32
3/22/2021;1266.48;1267.38
3/23/2021;1257.22;1256.02
3/24/2021;1244.49;1237.17
3/25/2021;1238.21;1231.75
3/26/2021;1252.88;1246.25
3/29/2021;1253.46;1247.80
3/30/2021;1262.15;1259.99
3/31/2021;1263.67;1260.92
4/1/2021;1273.59;1271.44
4/5/2021;1273.97;1270.28
4/6/2021;1282.82;1279.42
4/7/2021;1288.36;1285.41
4/8/2021;1296.97;1296.21
4/9/2021;1293.51;1289.73
4/12/2021;1280.08;1274.64
4/13/2021;1279.64;1274.18
4/14/2021;1286.41;1282.53
4/15/2021;1292.88;1287.35
4/16/2021;1306.71;1302.38
4/19/2021;1312.37;1310.95
4/20/2021;1318.30;1315.64
4/21/2021;1314.22;1309.69
4/22/2021;1314.67;1310.34
4/23/2021;1320.02;1317.39
4/26/2021;1336.02;1331.71
4/27/2021;1341.50;1336.63
4/28/2021;1342.95;1337.91
4/29/2021;1345.90;1339.12
4/30/2021;1337.25;1328.76
5/3/2021;1324.02;1314.97
5/4/2021;1309.20;1300.63
5/5/2021;1310.84;1303.39
5/6/2021;1319.98;1311.84
5/7/2021;1337.27;1324.87
5/10/2021;1350.80;1338.34
5/11/2021;1329.79;1318.89
5/12/2021;1304.74;1292.60
5/13/2021;1291.12;1276.79
5/14/2021;1296.21;1284.74
5/17/2021;1285.89;1275.22
5/18/2021;1313.41;1304.25
5/19/2021;1311.22;1303.72
5/20/2021;1309.62;1301.72
5/21/2021;1317.08;1308.57
5/24/2021;1322.41;1313.85
5/25/2021;1331.96;1324.16
5/26/2021;1342.70;1334.86
5/27/2021;1354.66;1349.45
5/28/2021;1360.56;1354.96
6/1/2021;1378.13;1373.86
6/2/2021;1381.11;1377.64
6/3/2021;1387.09;1381.33
6/4/2021;1385.10;1380.97
6/7/2021;1392.99;1386.68
6/8/2021;1394.17;1389.42
6/9/2021;1387.77;1382.76
6/10/2021;1399.39;1393.07
6/11/2021;1400.79;1396.45
6/14/2021;1402.12;1398.56
6/15/2021;1401.88;1396.51
6/16/2021;1394.63;1389.00
6/17/2021;1386.78;1383.71
6/18/2021;1385.36;1383.70
6/21/2021;1371.73;1375.04
6/22/2021;1376.65;1380.00
6/23/2021;1381.98;1387.24
6/24/2021;1386.85;1393.46
6/25/2021;1392.61;1398.80
6/28/2021;1395.36;1404.63
6/29/2021;1391.63;1402.01
6/30/2021;1397.30;1404.82
7/1/2021;1390.75;1397.13
7/2/2021;1390.71;1394.03
7/6/2021;1392.88;1392.74
7/7/2021;1389.18;1389.37
7/8/2021;1375.63;1371.89
7/9/2021;1374.27;1372.29
7/12/2021;1385.67;1383.10
7/13/2021;1387.58;1386.25
7/14/2021;1390.65;1386.58
7/15/2021;1401.69;1397.98
7/16/2021;1401.01;1396.71
7/19/2021;1386.39;1379.08
7/20/2021;1374.11;1365.01
7/21/2021;1375.52;1367.38
7/22/2021;1390.46;1381.31
7/23/2021;1387.51;1374.23
7/26/2021;1379.52;1356.46
7/27/2021;1365.43;1338.02
7/28/2021;1361.87;1342.38
7/29/2021;1384.67;1366.30
7/30/2021;1375.52;1357.28
8/2/2021;1387.10;1371.40
8/3/2021;1385.12;1368.23
8/4/2021;1389.50;1371.97
8/5/2021;1389.20;1370.25
8/6/2021;1384.30;1363.41
8/9/2021;1377.11;1359.27
8/10/2021;1370.86;1355.00
8/11/2021;1363.95;1348.93
8/12/2021;1367.69;1350.86
8/13/2021;1355.35;1339.93
8/16/2021;1345.57;1329.53
8/17/2021;1328.06;1311.00
8/18/2021;1339.38;1322.51
8/19/2021;1314.34;1295.47
8/20/2021;1302.93;1282.19
8/23/2021;1320.52;1302.84
8/24/2021;1341.71;1326.27
8/25/2021;1352.19;1335.51
8/26/2021;1347.55;1327.59
8/27/2021;1357.88;1337.64
8/30/2021;1374.37;1355.27
8/31/2021;1387.53;1370.50
9/1/2021;1393.46;1376.43
9/2/2021;1391.05;1374.97
9/3/2021;1396.73;1381.36
9/7/2021;1396.46;1383.66
9/8/2021;1375.29;1363.49
9/9/2021;1379.50;1366.69
9/10/2021;1386.52;1372.54
9/13/2021;1386.40;1370.63
9/14/2021;1391.30;1372.02
9/15/2021;1391.75;1371.02
9/16/2021;1386.13;1363.21
9/17/2021;1381.99;1359.84
9/20/2021;1361.84;1337.79
9/21/2021;1367.90;1344.88
9/22/2021;1372.32;1349.35
9/23/2021;1381.84;1358.36
9/24/2021;1378.02;1352.54
9/27/2021;1374.37;1349.72
9/28/2021;1357.23;1334.02
9/29/2021;1349.05;1326.50
9/30/2021;1357.51;1336.42
10/1/2021;1348.84;1327.70
10/4/2021;1344.31;1321.45
10/5/2021;1346.46;1322.70
10/6/2021;1329.75;1305.92
10/7/2021;1352.98;1329.76
10/8/2021;1353.48;1329.47
10/11/2021;1353.11;1329.44
10/12/2021;1345.98;1321.15
10/13/2021;1352.65;1329.35
10/14/2021;1364.42;1339.06
10/15/2021;1377.33;1350.48
10/18/2021;1380.33;1352.04
10/19/2021;1383.73;1357.39
10/20/2021;1379.87;1354.22
10/21/2021;1370.08;1344.44
10/22/2021;1363.95;1338.49
10/25/2021;1366.67;1342.09
10/26/2021;1373.63;1347.35
10/27/2021;1370.76;1341.93
10/28/2021;1361.69;1332.06
10/29/2021;1359.87;1327.20
11/1/2021;1364.54;1332.99
11/2/2021;1366.46;1333.83
11/3/2021;1369.41;1337.24
11/4/2021;1374.10;1340.70
11/5/2021;1375.06;1339.91
11/8/2021;1383.79;1349.09
11/9/2021;1393.59;1358.73
11/10/2021;1383.81;1349.46
11/11/2021;1385.61;1352.78
11/12/2021;1390.43;1360.05
11/15/2021;1396.28;1363.02
11/16/2021;1390.74;1360.08
11/17/2021;1385.79;1354.12
11/18/2021;1378.60;1345.77
11/19/2021;1376.14;1343.67
11/22/2021;1365.64;1332.57
11/23/2021;1357.08;1324.56
11/24/2021;1361.07;1329.27
11/26/2021;1329.59;1295.79
11/29/2021;1320.75;1289.32
11/30/2021;1318.98;1287.24
12/1/2021;1326.70;1295.24
12/2/2021;1328.57;1296.09
12/3/2021;1335.95;1300.87
12/6/2021;1329.62;1293.26
12/7/2021;1343.23;1307.95
12/8/2021;1356.09;1321.69
12/9/2021;1360.58;1326.91
12/10/2021;1355.41;1320.65
12/13/2021;1348.88;1311.60
12/14/2021;1337.77;1299.04
12/15/2021;1335.60;1295.80
12/16/2021;1343.68;1303.68
12/17/2021;1335.87;1295.51
12/20/2021;1308.45;1268.38
12/21/2021;1324.96;1286.14
12/22/2021;1332.26;1292.63
12/23/2021;1345.21;1305.63
12/27/2021;1351.63;1311.65
12/28/2021;1359.70;1318.80
12/29/2021;1357.76;1315.03
12/30/2021;1364.49;1321.01
12/31/2021;1371.28;1328.84
1/3/2022;1372.83;1332.32
1/4/2022;1371.47;1327.48
1/5/2022;1362.81;1316.76
1/6/2022;1351.48;1306.21
1/7/2022;1352.72;1307.48
1/10/2022;1357.40;1313.48
1/11/2022;1355.86;1311.61
1/12/2022;1373.29;1329.80
1/13/2022;1373.22;1327.76
1/14/2022;1368.71;1322.50
1/18/2022;1355.27;1307.56
1/19/2022;1353.32;1307.05
1/20/2022;1362.54;1317.86
1/21/2022;1342.21;1296.45
1/24/2022;1311.40;1266.87
1/25/2022;1300.19;1253.11
1/26/2022;1303.34;1253.80
1/27/2022;1288.23;1237.05
1/28/2022;1294.66;1242.23
1/31/2022;1310.18;1257.66
2/1/2022;1315.57;1263.47
2/2/2022;1317.91;1265.04
2/3/2022;1318.46;1265.23
2/4/2022;1321.81;1271.09
2/7/2022;1326.42;1275.98
2/8/2022;1327.32;1278.45
2/9/2022;1342.59;1296.31
2/10/2022;1343.21;1298.32
2/11/2022;1326.43;1280.83
2/14/2022;1298.82;1253.21
2/15/2022;1308.36;1265.21
2/16/2022;1325.10;1280.92
2/17/2022;1321.85;1277.88
2/18/2022;1322.10;1277.75
2/22/2022;1295.55;1251.99
2/23/2022;1306.15;1261.22
2/24/2022;1250.27;1206.29
2/25/2022;1278.12;1234.22
2/28/2022;1276.32;1231.31
3/1/2022;1283.45;1238.54
3/2/2022;1278.65;1233.30
3/3/2022;1287.84;1241.64
3/4/2022;1263.55;1216.03
